km.cluster,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000"
1,38807.64,1.16181818181818,603.380414803636,66.1907272727273,41.4756363636364,4.678,37.4038181818182,107.232363636364,0.649636363636364,63.0329090909091,61.8167272727273,0.634181818181818,64.1567272727273,70.2078181818182,3.104,7766.50909090909,10584.3272727273,600.4,927.836363636364,22629.4,28643.5090909091,14826.7636363636,13816.7454545455
2,846.235714285714,1678.09428571429,74.1100339001143,70.7824285714286,21.3431428571429,2.18885714285714,8.89914285714286,346.653142857143,0.547857142857143,60.5232857142857,44.6307142857143,0.800628571428571,85.395,92.6212857142857,6.69742857142857,139506.157142857,189297.8,11944.5571428571,18363.2571428571,294958.1,366067.042857143,359259.171428571,6807.87142857143
3,1512.42600671141,27.7620805369128,272.782715931208,61.4168624161074,60.372466442953,3.80243288590604,47.9833389261745,67.3159563758389,0.615201342281879,60.3600503355705,63.3930033557047,0.579114093959732,76.9377013422819,60.4166946308725,2.41411073825503,5356.0822147651,6423.02684563758,762.456375838926,940.538590604027,14305.6728187919,15531.4312080537,6417.43456375839,9113.9966442953
4,513.25980746089,40.6929001203369,181.344506179049,70.8195066185319,22.5849097472924,2.46916967509025,16.5294464500602,204.260204572804,0.518423586040915,39.6082791817088,36.717376654633,0.747977135980746,74.3752587244284,86.3859687123947,4.50649819494585,4240.8916967509,5294.85920577617,494.695547533093,678.521058965102,8963.71961492178,10083.6305655836,6794.11311672683,3289.5174488568
5,722.885796269727,28.6431850789096,402.970254070301,71.6157388809182,17.8580918220947,2.3906456241033,15.3767718794835,228.653529411765,0.537431850789096,45.9930989956958,38.4538450502152,0.769352941176471,82.0502582496413,87.2726829268293,4.86780487804878,5075.47345767575,5962.7862266858,541.410329985653,762.315638450502,10643.0100430416,11065.962697274,8426.59253945481,2639.37015781923
6,2168.62961538462,31.8357692307692,264.007054909718,67.0851666666667,34.9594102564103,3.01419230769231,27.1254743589744,141.165641025641,0.592576923076923,50.5767564102564,49.7084487179487,0.691197435897436,76.9628974358974,78.4752051282051,3.83467948717949,7021.60897435897,9046.58846153846,786.274358974359,1075.59743589744,17536.0679487179,20051.3217948718,13510.7025641026,6540.61923076923
7,1528.5,6808.1,0,70.66,21.74,1.88,5.62,610.04,0.62,74.59,51.19,0.841,85.48,95.11,7.81,5106165,5825893,499880,670780,9649519,10434252,9813187,621065
8,706.815110565111,43.9730958230958,222.050961398004,63.3670638820639,51.716855036855,3.14859950859951,42.714742014742,83.9678624078624,0.555503685503686,49.5123832923833,54.5669778869779,0.614217444717445,77.8851474201474,65.1674078624079,2.8664742014742,5226.5773955774,6296.88943488943,751.578624078624,938.823095823096,13382.4803439803,14317.3194103194,7721.24324324324,6596.07616707617
9,1118.82849364791,141.894918330309,165.914249496512,72.2373502722323,17.2401996370236,2.32201451905626,10.0823956442831,312.576569872958,0.549001814882033,54.6348638838476,39.3733393829401,0.799386569872958,81.8595644283122,91.6400362976406,5.82682395644283,19662.2450090744,26616.7186932849,1930.80217785844,2879.77676950998,41112.1361161524,50994.2813067151,45687.442831216,5306.83847549909
10,195.34,7324.08,9.315674842,70.895,23.625,1.847,7.78,388.898,0.572,61.718,46.592,0.811,86.955,93.262,7.307,432086.4,546592.7,39402.7,57258.3,904672.8,1034107.2,1033271.9,835.3
